tweet id,name,username,tweet text,reference type,reference id,created at,like,quote,reply,retweet,tweet url,mentions,hashtags
1460424660814680068,Eva Unit 00,EvaUnit10032,"Fun fact, Chikane Himemiya from Destiny of a Shrine Maiden has the same VA as saber. https://t.co/nvlC63QCjA",original,,2021-11-16T01:49:07.000Z,1,0,0,0,https://twitter.com/EvaUnit10032/status/1460424660814680068,,
1460424568892375046,Coins.ph,coinsph,Another #Bitcoin fun fact! Did you know more than 18.8 million Bitcoin have been mined since the network first went live in 2009? 🤯 #CryptoWithCoins,original,,2021-11-16T01:48:45.000Z,9,0,0,1,https://twitter.com/coinsph/status/1460424568892375046,,"Bitcoin,CryptoWithCoins"
1460424537707737089,Arizona Kingfish,azpopulist,Fun fact there’s a rumor that Charlie Kirk is into beastiality,original,,2021-11-16T01:48:37.000Z,1,0,0,0,https://twitter.com/azpopulist/status/1460424537707737089,,
1460424479688085504,semiColin,semiColin__,Fun fact: People doubt Eric Berger because they don't have access to internal US government documents.,original,,2021-11-16T01:48:23.000Z,4,1,0,0,https://twitter.com/semiColin__/status/1460424479688085504,,
1460424209977397248,Torchy,Torschy1,@sloane__down Fun fact: one of those presidents was 2 years ago,replied_to,1460119735496970248,2021-11-16T01:47:19.000Z,0,0,0,0,https://twitter.com/Torschy1/status/1460424209977397248,@sloane__down,
1460424195712569344,chaehyun!,chaebuno,"@LEOTHEACE is that so!? but fun fact, i think there is a white tiger living inside me instead of a bunny. now tell me which animal do you think resemble you a lot? whoa.. mad respect for leo! 👏🏻 you are indeed the ace for a reason. alrighty, i will be confident while making tiktok vids!!",replied_to,1459707991515492356,2021-11-16T01:47:16.000Z,0,0,0,0,https://twitter.com/chaebuno/status/1460424195712569344,@LEOTHEACE,
1460424153027203075,venus !,dreamrawrs,@halahalahalaaa fun fact andie ur the only person who’s ever drawn me before,replied_to,1460421431821574149,2021-11-16T01:47:06.000Z,0,0,3,0,https://twitter.com/dreamrawrs/status/1460424153027203075,@halahalahalaaa,
1460424125307133954,TBrule,brule_t,@ThaddeusArjuna @Newsweek People with guns save more lives in a year than people who use guns to kill. There's a fun fact for you. The majority of gun deaths in the US is from suicide's.,replied_to,1460420581736599552,2021-11-16T01:46:59.000Z,0,0,1,0,https://twitter.com/brule_t/status/1460424125307133954,"@ThaddeusArjuna,@Newsweek",
1460424062870642691,Andrew Fine,AFineBlogger,"Not so fun fact from call with @NYPD19Pct Sector ""D"" (E 86th- E 96th) call tonight. Officers say that they are now averaging more than one Petition Larceny or Grand Larceny call every hour of every day just fr this 10 block area, and that's the stores that still bother 2 call.",original,,2021-11-16T01:46:44.000Z,6,0,2,2,https://twitter.com/AFineBlogger/status/1460424062870642691,@NYPD19Pct,
1460424033338462208,n.on ♫,non_enbot,Fun fact i did the hidden twin thing and got zamboni,original,,2021-11-16T01:46:37.000Z,0,0,0,0,https://twitter.com/non_enbot/status/1460424033338462208,,
1460424015726657546,🚬,_collaredkitten,fun fact i usually cook naked but i really should invest in an apron.......or something,replied_to,1460423790043750404,2021-11-16T01:46:33.000Z,1,0,1,0,https://twitter.com/_collaredkitten/status/1460424015726657546,,
1460423997334732801,Justin Kukal,KukalJustin,"@kylerittenhouse @whisperwatch fun fact …….. any bullet other than a FMJ can get you executed for war crimes.
Not many people know this…..also, FMJ does not equal “armor piercing” Armor is rated, a “hollow point” 5.56 or .223 has the same chance to make it through level 3… https://t.co/pdE3goJPIM",original,,2021-11-16T01:46:28.000Z,0,0,0,0,https://twitter.com/KukalJustin/status/1460423997334732801,"@KyleRittenhouse,@whisperwatch",
1460423969996259342,🖕Jake Krueger🖕 🇨🇦,DevilzFartbox,"Now to watch this abomination, fun fact that cop there is Buzz from the original Home Alone https://t.co/w8iJsJtc9v",original,,2021-11-16T01:46:22.000Z,0,0,0,0,https://twitter.com/DevilzFartbox/status/1460423969996259342,,
1460423948408078337,Alyssa,yachtogeckos,"@itis_KTN @CDCgov So fun fact, most of these types of outbreaks on leafy greens (especially the endless romaine recalls) are actually due to upstream water contamination from cow manure. Runoff from farms.",replied_to,1460418957798621189,2021-11-16T01:46:17.000Z,8,0,0,0,https://twitter.com/yachtogeckos/status/1460423948408078337,"@itis_KTN,@CDCgov",
1460423863670652931,cas,allisonsrumour,"fun fact when i first watched hotel and the tear you apart scene started playing, i skipped it cause i was in the living room and anyone could’ve walked in",original,,2021-11-16T01:45:57.000Z,0,0,0,0,https://twitter.com/allisonsrumour/status/1460423863670652931,,
